name	sex	wikipedia_url	jsp_url	recording_url	birth_date	birth_date_md	best_birth_date	best_birth_year	best_birth_month	best_birth_day	death_date	death_date_md	best_death_date	best_death_year	best_death_month	best_death_day	date	date_md	best_date	best_year	best_month	best_day	tagline	tagline_md	office	outcome	outcome_md	for	alt_for	notes	notes_md	+notes	+notes_md	unit	unit_md	location	location_md	friendly_location	country	adm1	adm2	adm3	adm4	best_location	best_country	best_adm1	best_adm2	best_adm3	best_adm4	sections	tags	birth_place	birth_place_md	rebaptism_date	rebaptism_date_md	baptism_date	baptism_date_md
Martha Elizabeth Nolan	female				9 Jun 1914	9 Jun 1914	9 Jun 1914	1914.0	Jun	9.0							27 Apr 1941	27 Apr 1941	27 Apr 1941	1941	Apr	27.0				excommunicated	excommunicated			Excommunicated.	[Excommunicated](https://archive.org/details/improvementera4509unse/page/n61).			Billings Branch, North Central States Mission	Billings Branch, North Central States Mission	Billings, Yellowstone, Montana, United States	[Billings, Yellowstone, Montana, United States](https://en.wikipedia.org/w/index.php?title=The_Church_of_Jesus_Christ_of_Latter-day_Saints_in_Montana&oldid=906832781#Montana_Billings_Mission)	Billings, Montana	United States	Montana	Yellowstone	Billings		Billings, Yellowstone, Montana, United States	United States	Montana	Yellowstone	Billings		['20th Century']	['improvement-era', '1942-sep']						
Mary Elizabeth Kusch Nolan	female				25 Dec 1887	25 Dec 1887	25 Dec 1887	1887.0	Dec	25.0							27 Apr 1941	27 Apr 1941	27 Apr 1941	1941	Apr	27.0				excommunicated	excommunicated			Excommunicated.	[Excommunicated](https://archive.org/details/improvementera4509unse/page/n61).			Billings Branch, North Central States Mission	Billings Branch, North Central States Mission	Billings, Yellowstone, Montana, United States	[Billings, Yellowstone, Montana, United States](https://en.wikipedia.org/w/index.php?title=The_Church_of_Jesus_Christ_of_Latter-day_Saints_in_Montana&oldid=906832781#Montana_Billings_Mission)	Billings, Montana	United States	Montana	Yellowstone	Billings		Billings, Yellowstone, Montana, United States	United States	Montana	Yellowstone	Billings		['20th Century']	['improvement-era', '1942-sep']						
Romero G. Martinez	male																11 May 1941	11 May 1941	11 May 1941	1941	May	11.0				excommunicated	excommunicated	adultery		Excommunicated for adultery.	[Excommunicated for adultery](https://archive.org/details/improvementera4503unse/page/n31).																			['20th Century']	['improvement-era']						
Ray L. Cheney	male																6 Jun 1941	6 Jun 1941	6 Jun 1941	1941	Jun	6.0				excommunicated	excommunicated	adultery		Excommunicated for adultery.	[Excommunicated for adultery](https://archive.org/details/improvementera4504unse/page/n31).			Fairview South Ward, North Sanpete Stake	Fairview South Ward, North Sanpete Stake	Fairview, Sanpete, Utah, United States	Fairview, Sanpete, Utah, United States	Fairview, Utah	United States	Utah	Sanpete	Fairview		Fairview, Sanpete, Utah, United States	United States	Utah	Sanpete	Fairview		['20th Century']	['improvement-era']						
Bessie O. Rhoades	female				1 Dec 1892	1 Dec 1892	1 Dec 1892	1892.0	Dec	1.0							9 Jun 1941	9 Jun 1941	9 Jun 1941	1941	Jun	9.0				excommunicated	excommunicated			"Excommunicated in the ""Munice Branch, Northern States Mission"" (according to the _Improvement Era_ ), which must mean _Muncie_."	"[Excommunicated](https://archive.org/details/improvementera4509unse/page/n61) in the ""Munice Branch, Northern States Mission"" (according to the _Improvement Era_), which [must mean _Muncie_](https://books.google.com/books?id=tFMoAAAAYAAJ&pg=PA30&lpg=PA30&dq=muncie+branch,+northern+states+mission&source=bl&ots=a_sVUkV3IJ&sig=ACfU3U10qpbkdDLhJ6HTByrMSNvaVENOSQ&hl=en&ppis=_e&sa=X&ved=2ahUKEwj9qpWj0fjlAhXxCTQIHQQnAQIQ6AEwCXoECAoQAQ#v=onepage&q&f=false)."			Muncie Branch, Northern States Mission	Muncie Branch, Northern States Mission	Muncie, Delaware, Indiana, United States	Muncie, Delaware, Indiana, United States	Muncie, Indiana	United States	Indiana	Delaware	Muncie		Muncie, Delaware, Indiana, United States	United States	Indiana	Delaware	Muncie		['20th Century']	['improvement-era', '1942-sep']						
Beatrice Inskup	female				19 Jan 1905	19 Jan 1905	19 Jan 1905	1905.0	Jan	19.0							12 Jun 1941	12 Jun 1941	12 Jun 1941	1941	Jun	12.0				excommunicated	excommunicated			Excommunicated.	[Excommunicated](https://archive.org/details/improvementera4509unse/page/n49).			Peoria Branch, Northern States Mission	Peoria Branch, Northern States Mission	Peoria, Peoria, Illinois, United States	[Peoria, Peoria, Illinois, United States](https://archive.org/details/reliefsocietymag03reli/page/272)	Peoria, Illinois	United States	Illinois	Peoria	Peoria		Peoria, Peoria, Illinois, United States	United States	Illinois	Peoria	Peoria		['20th Century']	['improvement-era', '1942-sep']						
China M. Guildner	female				23 Feb 1888	23 Feb 1888	23 Feb 1888	1888.0	Feb	23.0							26 Jun 1941	26 Jun 1941	26 Jun 1941	1941	Jun	26.0				excommunicated	excommunicated			"Excommunicated. (The _Improvement Era_ has her excommunicated in the ""Penchatoula Branch, Texas Mission"" which seems to be a reference to Ponchatoula, Louisiana, as the Texas Mission included Louisiana at the time.)"	"[Excommunicated](https://archive.org/details/improvementera4509unse/page/n49). (The _Improvement Era_ has her excommunicated in the ""Penchatoula Branch, Texas Mission"" which seems to be a reference to Ponchatoula, Louisiana, as [the Texas Mission included Louisiana at the time](https://web.archive.org/web/20191120095324/https://history.churchofjesuschrist.org/missionary/mission/texas?lang=eng#1930).)"			Ponchatoula Branch, Texas Mission	Ponchatoula Branch, Texas Mission	Ponchatoula, Tangipahoa, Louisiana, United States	Ponchatoula, Tangipahoa, Louisiana, United States	Ponchatoula, Louisiana	United States	Louisiana	Tangipahoa	Ponchatoula		Ponchatoula, Tangipahoa, Louisiana, United States	United States	Louisiana	Tangipahoa	Ponchatoula		['20th Century']	['improvement-era', '1942-sep']						
Oscar William Guildner	male				20 Apr 1905	20 Apr 1905	20 Apr 1905	1905.0	Apr	20.0							26 Jun 1941	26 Jun 1941	26 Jun 1941	1941	Jun	26.0				excommunicated	excommunicated			"Excommunicated, seemingly in Hammond, Louisiana given the presence of the church there around that time and the shared ""Guildner"" name with China M. Guildner, excommunicated on the same day."	"[Excommunicated](https://archive.org/details/improvementera4509unse/page/n49), seemingly in Hammond, Louisiana given the presence of the church there [around that time](https://en.wikipedia.org/w/index.php?title=The_Church_of_Jesus_Christ_of_Latter-day_Saints_in_Louisiana&oldid=906835008) and the shared ""Guildner"" name with China M. Guildner, excommunicated on the same day."			Hammond Branch, Texas Mission	Hammond Branch, Texas Mission	Hammond, Tangipahoa, Louisiana, United States	Hammond, Tangipahoa, Louisiana, United States	Hammond, Louisiana	United States	Louisiana	Tangipahoa	Hammond		Hammond, Tangipahoa, Louisiana, United States	United States	Louisiana	Tangipahoa	Hammond		['20th Century']	['improvement-era', '1942-sep']						
Mary E. Lambton	female				4 Feb 1919	4 Feb 1919	4 Feb 1919	1919.0	Feb	4.0							26 Jun 1941	26 Jun 1941	26 Jun 1941	1941	Jun	26.0				excommunicated	excommunicated			Excommunicated.	[Excommunicated](https://archive.org/details/improvementera4509unse/page/n49).			Evansville Branch, Northern States Mission	Evansville Branch, Northern States Mission	Evansville, Randolph, Illinois, United States	[Evansville, Randolph, Illinois, United States](https://archive.org/details/reliefsocietymag03reli/page/272)	Evansville, Illinois	United States	Illinois	Randolph	Evansville		Evansville, Randolph, Illinois, United States	United States	Illinois	Randolph	Evansville		['20th Century']	['improvement-era', '1942-sep']						
Willie Persick	male				12 Sep 1883	12 Sep 1883	12 Sep 1883	1883.0	Sep	12.0							26 Jun 1941	26 Jun 1941	26 Jun 1941	1941	Jun	26.0				excommunicated	excommunicated			Excommunicated.	[Excommunicated](https://archive.org/details/improvementera4509unse/page/n61).			Holden Branch, Texas Mission	Holden Branch, Texas Mission	Holden, ?, Texas or Louisiana, United States	Holden, ?, Texas or Louisiana, United States	Holden, Texas or Louisiana	United States	Texas or Louisiana	?	Holden		Holden, , Texas or Louisiana, United States	United States	Texas or Louisiana		Holden		['20th Century']	['improvement-era', '1942-sep']						
Ida Burriss	female				2 May 1886	2 May 1886	2 May 1886	1886.0	May	2.0							27 Jun 1941	27 Jun 1941	27 Jun 1941	1941	Jun	27.0				excommunicated	excommunicated			Excommunicated.	[Excommunicated](https://archive.org/details/improvementera4509unse/page/n43).			Northern States Mission	Northern States Mission	United States?	United States?	United States	United States?					United States	United States					['20th Century']	['improvement-era', '1942-sep']						
Etta Chadduck Mulkey	female				27 Sep 1894	27 Sep 1894	27 Sep 1894	1894.0	Sep	27.0							10 Jul 1941	10 Jul 1941	10 Jul 1941	1941	Jul	10.0				excommunicated	excommunicated			Excommunicated.	[Excommunicated](https://archive.org/details/improvementera4509unse/page/n61).			East Oklahoma District, Central States Mission	East Oklahoma District, Central States Mission	Oklahoma?, United States	Oklahoma?, United States	Oklahoma	United States	Oklahoma?				Oklahoma, United States	United States	Oklahoma				['20th Century']	['improvement-era', '1942-sep']						
Andalina Lujan	female				10 Mar 1885	10 Mar 1885	10 Mar 1885	1885.0	Mar	10.0							15 Jul 1941	15 Jul 1941	15 Jul 1941	1941	Jul	15.0				excommunicated	excommunicated			Excommunicated.	[Excommunicated](https://archive.org/details/improvementera4509unse/page/n49).			Santa Fe Branch, Argentine Mission	Santa Fe Branch, Argentine Mission	Santa Fe, , Santa Fe, Argentina	Santa Fe, , Santa Fe, Argentina	Santa Fe, Santa Fe, Argentina	Argentina	Santa Fe		Santa Fe		Santa Fe, , Santa Fe, Argentina	Argentina	Santa Fe		Santa Fe		['20th Century']	['improvement-era', '1942-sep']						
Chloe Mae Crandall Beld	female				19 Mar 1889	19 Mar 1889	19 Mar 1889	1889.0	Mar	19.0							21 Jul 1941	21 Jul 1941	21 Jul 1941	1941	Jul	21.0				excommunicated	excommunicated			Excommunicated.	[Excommunicated](https://archive.org/details/improvementera4509unse/page/n43).			Northern States Mission	Northern States Mission	United States	United States	United States	United States					United States	United States					['20th Century']	['improvement-era', '1942-sep']						
Arthur Lee Crandall	male				17 May 1920	17 May 1920	17 May 1920	1920.0	May	17.0							21 Jul 1941	21 Jul 1941	21 Jul 1941	1941	Jul	21.0				excommunicated	excommunicated			Excommunicated.	[Excommunicated](https://archive.org/details/improvementera4509unse/page/n49).			South Indiana District, Northern States Mission	South Indiana District, Northern States Mission	Indiana, United States	Indiana, United States	Indiana	United States	Indiana				Indiana, United States	United States	Indiana				['20th Century']	['improvement-era', '1942-sep']						
Chester Joseph Crandall	male				7 Sep 1895	7 Sep 1895	7 Sep 1895	1895.0	Sep	7.0							21 Jul 1941	21 Jul 1941	21 Jul 1941	1941	Jul	21.0				excommunicated	excommunicated			Excommunicated.	[Excommunicated](https://archive.org/details/improvementera4509unse/page/n49).			South Indiana District, Northern States Mission	South Indiana District, Northern States Mission	Indiana, United States	Indiana, United States	Indiana	United States	Indiana				Indiana, United States	United States	Indiana				['20th Century']	['improvement-era', '1942-sep']						
William C. Deichmiller	male				8 Apr 1876	8 Apr 1876	8 Apr 1876	1876.0	Apr	8.0							24 Jul 1941	24 Jul 1941	24 Jul 1941	1941	Jul	24.0				excommunicated	excommunicated			Excommunicated.	[Excommunicated](https://archive.org/details/improvementera4509unse/page/n49).			South Illinois District, Northern States Mission	South Illinois District, Northern States Mission	Illinois, United States	Illinois, United States	Illinois	United States	Illinois				Illinois, United States	United States	Illinois				['20th Century']	['improvement-era', '1942-sep']						
Martha Carr	female				23 Mar 1865	23 Mar 1865	23 Mar 1865	1865.0	Mar	23.0							4 Sep 1941	4 Sep 1941	4 Sep 1941	1941	Sep	4.0				excommunicated	excommunicated			Excommunicated.	[Excommunicated](https://archive.org/details/improvementera4509unse/page/n43).			Evansville Branch, Northern States Mission	Evansville Branch, Northern States Mission	Evansville, Randolph, Illinois, United States	[Evansville, Randolph, Illinois, United States](https://archive.org/details/reliefsocietymag03reli/page/272)	Evansville, Illinois	United States	Illinois	Randolph	Evansville		Evansville, Randolph, Illinois, United States	United States	Illinois	Randolph	Evansville		['20th Century']	['improvement-era', '1942-sep']						
Lydia Loraze Clendenen	female				11 Feb 1885	11 Feb 1885	11 Feb 1885	1885.0	Feb	11.0							4 Sep 1941	4 Sep 1941	4 Sep 1941	1941	Sep	4.0				excommunicated	excommunicated			Excommunicated.	[Excommunicated](https://archive.org/details/improvementera4509unse/page/n43).			Evansville Branch, Northern States Mission	Evansville Branch, Northern States Mission	Evansville, Randolph, Illinois, United States	[Evansville, Randolph, Illinois, United States](https://archive.org/details/reliefsocietymag03reli/page/272)	Evansville, Illinois	United States	Illinois	Randolph	Evansville		Evansville, Randolph, Illinois, United States	United States	Illinois	Randolph	Evansville		['20th Century']	['improvement-era', '1942-sep']						
Lorene Edna Kalinksi	female				22 Sep 1913	22 Sep 1913	22 Sep 1913	1913.0	Sep	22.0							11 Sep 1941	11 Sep 1941	11 Sep 1941	1941	Sep	11.0				excommunicated	excommunicated			Excommunicated.	[Excommunicated](https://archive.org/details/improvementera4509unse/page/n49).			South Illinois District, Northern States Mission	South Illinois District, Northern States Mission	Illinois, United States	Illinois, United States	Illinois	United States	Illinois				Illinois, United States	United States	Illinois				['20th Century']	['improvement-era', '1942-sep']						
Emma Elizabeth Cochran	female																13 Sep 1941	13 Sep 1941	13 Sep 1941	1941	Sep	13.0				excommunicated	excommunicated			Excommunicated.	[Excommunicated](https://archive.org/details/improvementera4509unse/page/n43).			East Nebraska District, Western States Mission	East Nebraska District, Western States Mission	Nebraska, United States	Nebraska, United States	Nebraska	United States	Nebraska				Nebraska, United States	United States	Nebraska				['20th Century']	['improvement-era', '1942-sep']						
Florence Runswick	female																25 Sep 1941	25 Sep 1941	25 Sep 1941	1941	Sep	25.0				excommunicated	excommunicated	apostasy		Excommunicated for apostasy.	[Excommunicated for apostasy](https://archive.org/details/improvementera4503unse/page/n31).			Wilshire Ward, Los Angeles Stake	Wilshire Ward, Los Angeles Stake	Los Angeles, Los Angeles, California, United States	Los Angeles, Los Angeles, California, United States	Los Angeles, California	United States	California	Los Angeles	Los Angeles		Los Angeles, Los Angeles, California, United States	United States	California	Los Angeles	Los Angeles		['20th Century']	['improvement-era']						
Ruth Bohnett	female																25 Sep 1941	25 Sep 1941	25 Sep 1941	1941	Sep	25.0				excommunicated	excommunicated	apostasy		Excommunicated for apostasy.	[Excommunicated for apostasy](https://archive.org/details/improvementera4506unse/page/n31).			Wilshire Ward, Los Angeles	Wilshire Ward, Los Angeles	Los Angeles, Los Angeles, California, United States	Los Angeles, Los Angeles, California, United States	Los Angeles, California	United States	California	Los Angeles	Los Angeles		Los Angeles, Los Angeles, California, United States	United States	California	Los Angeles	Los Angeles		['20th Century']	['improvement-era', '1942-jun']						
